Namespace,Name,AuthPackageName
,account-sdk-node,*emilgroup*account-sdk-node*
,public-api-sdk,*emilgroup*public-api-sdk*
,auth-sdk-node,*emilgroup*auth-sdk-node*
,customer-sdk-node,*emilgroup*customer-sdk-node*
,public-api-sdk-node,*emilgroup*public-api-sdk-node*
,tenant-sdk-node,*emilgroup*tenant-sdk-node*
,payment-sdk,*emilgroup*payment-sdk*
,payment-sdk-node,*emilgroup*payment-sdk-node*
,api-documentation,*emilgroup*api-documentation*
,insurance-sdk,*emilgroup*insurance-sdk*
,billing-sdk-node,*emilgroup*billing-sdk-node*
,claim-sdk-node,*emilgroup*claim-sdk-node*
,insurance-sdk-node,*emilgroup*insurance-sdk-node*
,claim-sdk,*emilgroup*claim-sdk*
,litellm,*litellm*
,telnyx,*telnyx*
,aquasec*trivy,*aquasec*trivy*
,ghcr.io*aquasecurity*trivy,*ghcr.io*aquasecurity*trivy*
,docker.io*aquasec*trivy,*docker.io*aquasec*trivy*
,public.ecr.aws*aquasecurity*trivy,*public.ecr.aws*aquasecurity*trivy*
,aquasecurity*setup-trivy,*aquasecurity*setup-trivy*
,aquasecurity*trivy-action,*aquasecurity*trivy-action*
,Checkmarx*kics-github-action,*Checkmarx*kics-github-action*
,Checkmarx*ast-github-action,*Checkmarx*ast-github-action*
,ast-results,*ast-results*
,cx-dev-assist,*cx-dev-assist*
,pypestream*floating-ui-dom,*pypestream*floating-ui-dom*
,leafnoise*mirage,*leafnoise*mirage*
,opengov*ppf-backend-types,*opengov*ppf-backend-types*
,eslint-config-ppf,*eslint-config-ppf*
,react-leaflet-marker-layer,*react-leaflet-marker-layer*
,react-leaflet-cluster-layer,*react-leaflet-cluster-layer*
,react-autolink-text,*react-autolink-text*
,opengov-k6-core,*opengov-k6-core*
,jest-preset-ppf,*jest-preset-ppf*
,cit-playwright-tests,*cit-playwright-tests*
,eslint-config-service-users,*eslint-config-service-users*
,babel-plugin-react-pure-component,*babel-plugin-react-pure-component*
,opengov*form-renderer,*opengov*form-renderer*
,opengov*qa-record-types-api,*opengov*qa-record-types-api*
,opengov*form-builder,*opengov*form-builder*
,opengov*ppf-eslint-config,*opengov*ppf-eslint-config*
,opengov*form-utils,*opengov*form-utils*
,react-leaflet-heatmap-layer,*react-leaflet-heatmap-layer*
,virtahealth*substrate-root,*virtahealth*substrate-root*
,airtm*uuid-base32,*airtm*uuid-base32*
,emilgroup*setting-sdk,*emilgroup*setting-sdk*
,emilgroup*partner-portal-sdk,*emilgroup*partner-portal-sdk*
,emilgroup*gdv-sdk-node,*emilgroup*gdv-sdk-node*
,emilgroup*docxtemplater-util,*emilgroup*docxtemplater-util*
,emilgroup*accounting-sdk,*emilgroup*accounting-sdk*
